NOMBRE;DIRECCION;TELEFONOS;HORARIOS;TIPO_SERVICIO;X;Y
PUNTA CARRETAS SHOPPING - CUTCSA;Ellauri 350  Local B-1;2 710 92 03;LUNES A DOMINGO 1000 A 2100 HS.   FERIADOS  1115 A 1745 HS.;Atención Integral STM;576756.691436637;6135116.13864084
TERMINAL COLON  - CUTCSA;Garzón 2084 - Locales 1.2.4 Y 5;2320 7551 int. 130;LUNES A VIERNES DE 0800 A 2000 HS. SABADOS  DE 0715 A 1400 HS. DOMINGOS Y FERIADOS CERRADO;Atención Integral STM;571086.247107143;6149003.94607273
SHOPPING TRES CRUCES - CUTCSA;Bv Gral Artigas 1825 Sector Encomiendas Local 17;2 408 17 67;LUNES A SABADO DE 0900 A 2200 HS. DOMINGOS CERRADO. FERIADOS 1115 A 1745.;Atención Integral STM;576214.724837873;6138429.38486144
MONTEVIDEO SHOPPING - CUTCSA;Av Dr Luis Alberto De Herrera 1290, Local Ss7;2 622 20 89;LUNES A SABADO DE 1000 A 2200 HS.  DOMINGOS CERRADO. FERIADOS 1115 A 1745;Atención Integral STM;578819.607934607;6137252.88521943
TERMINAL RIO BRANCO - ;Galicia 935 - Local 25;2 902 93 23;LUNES A VIERNES DE 0900 A 1900 HS.  SÁBADO DE 1015 A 1345 HS. DOMINGOS Y FERIADOS CERRADO;Atención Integral STM;573369.570951527;6137690.60909969
HALL ANEXO IM - CUTCSA;Soriano 1426 Esq. Santiago De Chile ;094 030 886;LUNES A VIERNES DE 0900 A 1700 HS. SABADO DE 0815 A 1145 HS. DOMINGOS Y FERIADOS CERRADO;Atención Integral STM;574470.110804367;6136920.31416235
NUEVO CENTRO SHOPPING - CUTCSA;Av Dr Luis Alberto De Herrera 3365 Esq. Marne - Nivel 3 - Local 336;22013244;LUNES A DOMINGOS DE 1000 A 2200 HS.  FERIADOS 1115 A 1745 HS.;Atención Integral STM;575964.888586993;6141196.86813947
Canelones COPSA;Avda. Batlle Y Ordoñez Y Artigas;43322379;L. a V. de 09:00 a 17:00hs S. de 08:00 a 12:00hs.;Atención Integral STM;565659.761003585;6179352.69146059
Libertad - COME;San Jose 964 (Frente A La Plaza), Libertad, San Jose;2 309 60 32;L. a V. de 07:00 a 14:30 y S. de 09:00 a 13:00;Atención Integral STM;534963.84098631;6167026.29503046
PASO MOLINO - COME;Av Agraciada 4141 Loc. 042 ;2354 3466  int. 180;L. a V. de 09:00 a 16:45;Atención Integral STM;571407.699252132;6142488.33837289
Terminal Belloni - UCOT;Av. 8 De Octubre 4849 P.1  Local 109;22277318;Lunes a Viernes de 9 a 18 hs. ;Atención Integral STM;579267.274994112;6142615.65854493
Terminal Rio Branco - TUSA;Galicia 935 (Terminal Baltasar Brum) ;29029323;L. a V. de 0900 a 1900 Hs. - Sábado de 1015 a 1345Hs. Domingo cerrado;Atención Integral STM;573362.046904259;6137686.72166019
Ciudad Del Plata - COME;Ruta 1 Km 26.500 Manzana 42 Solar Con Frente A Ruta 1 - Local 4;091 770 739;L. a V. de 09:00 a 16:30 y S. 09:00 a 13:00;Atención Integral STM;555587.16558175;6152918.72450352
Las Piedras COETC;Av Artigas 789 Entre Treinta Y Tres Y Dr. Puey;23642070 / 095865762;Lunes a Viernes de 09:00 a 16:30 hs.;Atención Integral STM;571104.786451638;6156923.95145747
Las Piedras - CO. del Este;Jose P. Varela 643;2364 6034 / 2364 0019;Lunes a viernes de 09:00 a 19:00 y sábados de 09:00 a 14:00;Atención Integral STM;572094.853689685;6156806.83695216
Sauce CASANOVA;Carmelo René Gonzalez 2186 - Sauce;222940969 22941761;L a V. de 08:00 a  16:45;Atención Integral STM;585644.427136365;6165365.63058453
Atlántida COPSA;Calle 11 Y Av. Circunvalación;A confirmar;L. a V. de 10:00 a 20:30hs, S. de 08:00 a 12:00hs.;Atención Integral STM;613005.253209976;6151554.90618256
Shopping Costa Urbana- COPSA;Nivel 1 - Zona Norte Paseo De Servicios;A confirmar;L. a V. de 10:00 a 20:30hs, S. de 11:00 a 15:00hs.;Atención Integral STM;592093.78701007;6144234.39207341
Pando - COPSA;Av. Artigas Y Piovene;22924501;L. a V. de 10:00 a 18:00hs S. de 08:00 a 12:00hs.;Atención Integral STM;594356.683714416;6158093.40824209
Terminal Rio Branco - COPSA;Terminal Rio Branco - Anden 8;A confirmar;L. a V. de 09:00 a 19:00hs. S. de 08:00 a 12:00hs.;Atención Integral STM;573369.57095149;6137690.60908265
Pando - TPM;Iturria 1023;22924501;Lunes a Viernes de 9:00 a 17:30;Atención Integral STM;595060.712241292;6157948.80867016
San Ramón - UCOT;Ruta 6 Esq. Baltasar Brum;43122624;Lunes a Viernes de 05:30 a 14:00 hs.;Atención Integral STM;595951.77573629;6205327.70587571
Abitab 12-13;Mario Ferreira Y Calle 8;4375 58 24;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;616921.629853822;6152016.62993473
Abitab 12-14;José Batlle Y Ordóñez S/N Esquina Dr Brause - Ta-Ta;4332 83 35;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;565997.514035892;6180295.0419716
Abitab 12-15;Sarandí S/N Entre Almiratti Y Vicente Gruchi;4334 68 93;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;555996.114899649;6186867.72229198
Abitab 12-18;Ruta Interbalnearia Km 36.200 Manzana 85 Solar 1 - Estación Ancap;4376 02 92;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;604724.874397538;6151023.46072302
Abitab 12-21;Ruta Interbalnearia S/N Entre Del Ambar Y De Las Sirenas Km 40.300;4376 01 54;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;607843.581685774;6151639.13196212
Abitab 12-32;Calle 24 Sin Número Esquina Artigas;4372 3593;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;613263.297382743;6151596.67647814
Abitab 12-34;Rivera 500 Esq. Rep. Argentina;4334 91 55;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;555959.368195928;6187341.73194831
Abitab 12-35;Avda. Rivera 125 Esquina M. Legnani - Super El Dorado;4334 91 56;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;555414.230229174;6187851.91762645
Abitab 12-36;Calle 11 S/N Y Calle 24;4372 21 09;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;612921.13673087;6151336.99920045
Abitab 12-38;Avda. José Batlle Y Ordóñez Esquina G. Penela;4312 20 60;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;595991.6173093;6205488.61488846
Abitab 12-41;Rivera S/N Esquina 25 De Agosto;4373 78 99;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;623027.230689045;6151813.82494347
Abitab 12-45;Artigas S/N Esquina Florida;4315 37 53;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;613606.309913134;6199051.7012006
Abitab 12-46;Avda. Artigas S/N Esquina Las Piedras;4399 34 25;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;603509.305215219;6176732.76555067
Abitab 12-47;Baltasar Brum S/N Entre Batlle Y Ordóñez Y Llambías De Olivar;4313 23 96;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;588021.828974737;6182130.69589566
Abitab 12-48;Maximo Tajes S/N Esquina Artigas;4336 33 03;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;558713.482980085;6170282.60047822
Abitab 12-49;Avda. Artigas S/N E Ildefonso De León;4315 22 85;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;613850.598912048;6199026.3115853
Abitab 12-50;Larrobla S/N Y Makignon;4373 90 81;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;621037.093850601;6152940.6185549
Abitab 12-51;Julieta Entre Mamboreta Y Jacaré;4376 80 50;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;606204.256395069;6151032.88089994
Abitab 12-53;Ruta Interbalnearia Km 37.500 Esquina Colón;4376 87 24;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;605303.640848482;6151101.64127664
Abitab 12-54;Rodó 341 Esquina Treinta Y Tres;4332 80 07;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566058.162792946;6179468.84388051
Abitab 12-56;Gregorio Migues S/N Esquina José P. Varela;4317 23 07;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;625769.033834599;6182815.32366864
Abitab 12-57;Pedro Maraboto S/N Entre J. P. Álvarez Y Luis A. De Herrera;4313 65 62;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;595579.132180569;6188517.13831365
Abitab 12-72;Avda. Zenon Burgueño S/N Esquina Aparicio Saravia;4374 05 15;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;619015.033182805;6161228.95530788
Abitab 12-74;María Pereira De Marotte Entre J.P. Varela Y Rogelio Martínez - Supermercado Essean;4313 97 00;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;584546.805749088;6187389.81442589
Abitab 12-84;Ruta Interbalnearia Km.49.500;4375 28 91;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;616578.731306269;6153267.74018057
Abitab 12-91;Ruta 87 Esquina Yamandú;4376 80 60;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;606012.620140129;6151610.51967037
Abitab 12-92;Florencio Sanchez 739 Bis;4332 85 14;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566116.154762783;6179844.08085098
Abitab 12-93;Ruta 11 Km 166;4372 02 81;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;612797.001888506;6153085.57654611
Abitab 26-7;25 De Agosto 970 Entre Evaristo Ciganda Y Medina;4345 43 38;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;534883.180074486;6167430.20250027
Abitab 26-13;Av. Wilson Ferreira S/N Esq. José E. Rodó;4345 49 70;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;534717.712904387;6167128.36782768
Abitab 23-03;Zonamérica Edificio Beta3 S/N;25182727;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;585117.931684093;6149813.4971131
Abitab 11-2;Arenal Grande 2514 - Centro Comercial Reus;2201 86 57;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;575102.714352603;6139610.82895878
Abitab 696;Unidad Agroalimentaria Metropolitana, Nave Polivalente;099643103;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;566783.987063972;6149108.11479839
Abitab 97-30;Avda.Italia4250local11esq.Santanashoppingplazaital;26186019;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;580606.772862026;6139057.74937568
Abitab 694;Gorleros/N1;42443015;Consultar en: www.abitab.com.uy;Recarga y entrega de tarjeta STM COMUN;687611.178192954;6129080.63767384
